map_name,display_name,hash,first_seen,origin,path,radar_paths,radar_info,thumb_paths
"ar_baggage","Baggage","1bd57b26","2025-12-28","panorama/images/map_icons/map_icon_ar_baggage.vsvg_c","https://raw.githubusercontent.com/MurkyYT/cs2-map-icons/main/images/ar_baggage.png","https://raw.githubusercontent.com/MurkyYT/cs2-map-icons/main/images/radars/ar_baggage_lower_radar_psd.png;https://raw.githubusercontent.com/MurkyYT/cs2-map-icons/main/images/radars/ar_baggage_radar_psd.png","{""path"":""https://raw.githubusercontent.com/MurkyYT/cs2-map-icons/main/data/radar_info/ar_baggage.txt"",""pos_x"":-1316,""pos_y"":1288,""scale"":2.539062,""rotate"":1,""zoom"":1.3}","https://raw.githubusercontent.com/MurkyYT/cs2-map-icons/main/images/thumbs/ar_baggage_1_png.png;https://raw.githubusercontent.com/MurkyYT/cs2-map-icons/main/images/thumbs/ar_baggage_2_png.png;https://raw.githubusercontent.com/MurkyYT/cs2-map-icons/main/images/thumbs/ar_baggage_3_png.png;https://raw.githubusercontent.com/MurkyYT/cs2-map-icons/main/images/thumbs/ar_baggage_4_png.png;https://raw.githubusercontent.com/MurkyYT/cs2-map-icons/main/images/thumbs/ar_baggage_png.png"
"ar_pool_day","Pool Day","0b12ce72","2025-12-28","panorama/images/map_icons/map_icon_ar_pool_day.vsvg_c","https://raw.githubusercontent.com/MurkyYT/cs2-map-icons/main/images/ar_pool_day.png","","","https://raw.githubusercontent.com/MurkyYT/cs2-map-icons/main/images/thumbs/ar_pool_day_png.png"
"ar_shoots","Shoots (Day)","701f3166","2025-12-28","panorama/images/map_icons/map_icon_ar_shoots.vsvg_c","https://raw.githubusercontent.com/MurkyYT/cs2-map-icons/main/images/ar_shoots.png","https://raw.githubusercontent.com/MurkyYT/cs2-map-icons/main/images/radars/ar_shoots_radar_psd.png","{""path"":""https://raw.githubusercontent.com/MurkyYT/cs2-map-icons/main/data/radar_info/ar_shoots.txt"",""pos_x"":-1368,""pos_y"":1952,""scale"":2.6875}","https://raw.githubusercontent.com/MurkyYT/cs2-map-icons/main/images/thumbs/ar_shoots_1_png.png;https://raw.githubusercontent.com/MurkyYT/cs2-map-icons/main/images/thumbs/ar_shoots_2_png.png;https://raw.githubusercontent.com/MurkyYT/cs2-map-icons/main/images/thumbs/ar_shoots_3_png.png;https://raw.githubusercontent.com/MurkyYT/cs2-map-icons/main/images/thumbs/ar_shoots_4_png.png;https://raw.githubusercontent.com/MurkyYT/cs2-map-icons/main/images/thumbs/ar_shoots_png.png"
"ar_shoots_night","Shoots (Night)","6b78163e","2025-12-28","panorama/images/map_icons/map_icon_ar_shoots_night.vsvg_c","https://raw.githubusercontent.com/MurkyYT/cs2-map-icons/main/images/ar_shoots_night.png","https://raw.githubusercontent.com/MurkyYT/cs2-map-icons/main/images/radars/ar_shoots_night_radar_psd.png","{""path"":""https://raw.githubusercontent.com/MurkyYT/cs2-map-icons/main/data/radar_info/ar_shoots_night.txt"",""pos_x"":-1368,""pos_y"":1952,""scale"":2.6875}","https://raw.githubusercontent.com/MurkyYT/cs2-map-icons/main/images/thumbs/ar_shoots_night_1_png.png;https://raw.githubusercontent.com/MurkyYT/cs2-map-icons/main/images/thumbs/ar_shoots_night_2_png.png;https://raw.githubusercontent.com/MurkyYT/cs2-map-icons/main/images/thumbs/ar_shoots_night_3_png.png;https://raw.githubusercontent.com/MurkyYT/cs2-map-icons/main/images/thumbs/ar_shoots_night_4_png.png;https://raw.githubusercontent.com/MurkyYT/cs2-map-icons/main/images/thumbs/ar_shoots_night_png.png"
"cs_agency","Agency","681ce1de-1312c","","","https://raw.githubusercontent.com/MurkyYT/cs2-map-icons/main/images/cs_agency.png","","","https://raw.githubusercontent.com/MurkyYT/cs2-map-icons/main/images/thumbs/cs_agency_png.png"
"cs_alpine","Alpine","38518c27","2026-01-28","panorama/images/map_icons/map_icon_cs_alpine.vsvg_c","https://raw.githubusercontent.com/MurkyYT/cs2-map-icons/main/images/cs_alpine.png","","","https://raw.githubusercontent.com/MurkyYT/cs2-map-icons/main/images/thumbs/cs_alpine_png.png"
"cs_italy","Italy","bafb6d40","2025-12-28","panorama/images/map_icons/map_icon_cs_italy.vsvg_c","https://raw.githubusercontent.com/MurkyYT/cs2-map-icons/main/images/cs_italy.png","https://raw.githubusercontent.com/MurkyYT/cs2-map-icons/main/images/radars/cs_italy_radar_psd.png","{""path"":""https://raw.githubusercontent.com/MurkyYT/cs2-map-icons/main/data/radar_info/cs_italy.txt"",""pos_x"":-2647,""pos_y"":2592,""scale"":4.6,""rotate"":1,""zoom"":1.5}","https://raw.githubusercontent.com/MurkyYT/cs2-map-icons/main/images/thumbs/cs_italy_0_png.png;https://raw.githubusercontent.com/MurkyYT/cs2-map-icons/main/images/thumbs/cs_italy_1_png.png;https://raw.githubusercontent.com/MurkyYT/cs2-map-icons/main/images/thumbs/cs_italy_2_png.png;https://raw.githubusercontent.com/MurkyYT/cs2-map-icons/main/images/thumbs/cs_italy_3_png.png;https://raw.githubusercontent.com/MurkyYT/cs2-map-icons/main/images/thumbs/cs_italy_png.png"
"cs_office","Office","a1d91a42","2025-12-28","panorama/images/map_icons/map_icon_cs_office.vsvg_c","https://raw.githubusercontent.com/MurkyYT/cs2-map-icons/main/images/cs_office.png","https://raw.githubusercontent.com/MurkyYT/cs2-map-icons/main/images/radars/cs_office_radar_psd.png","{""path"":""https://raw.githubusercontent.com/MurkyYT/cs2-map-icons/main/data/radar_info/cs_office.txt"",""pos_x"":-1838,""pos_y"":1858,""scale"":4.1}","https://raw.githubusercontent.com/MurkyYT/cs2-map-icons/main/images/thumbs/cs_office_1_png.png;https://raw.githubusercontent.com/MurkyYT/cs2-map-icons/main/images/thumbs/cs_office_2_png.png;https://raw.githubusercontent.com/MurkyYT/cs2-map-icons/main/images/thumbs/cs_office_3_png.png;https://raw.githubusercontent.com/MurkyYT/cs2-map-icons/main/images/thumbs/cs_office_4_png.png;https://raw.githubusercontent.com/MurkyYT/cs2-map-icons/main/images/thumbs/cs_office_png.png"
"de_ancient","Ancient","58e07755","2025-12-28","panorama/images/map_icons/map_icon_de_ancient.vsvg_c","https://raw.githubusercontent.com/MurkyYT/cs2-map-icons/main/images/de_ancient.png","https://raw.githubusercontent.com/MurkyYT/cs2-map-icons/main/images/radars/de_ancient_radar_psd.png;https://raw.githubusercontent.com/MurkyYT/cs2-map-icons/main/images/radars/de_ancient_v1_radar_psd.png","{""path"":""https://raw.githubusercontent.com/MurkyYT/cs2-map-icons/main/data/radar_info/de_ancient.txt"",""pos_x"":-2953,""pos_y"":2164,""scale"":5,""rotate"":0,""zoom"":0}","https://raw.githubusercontent.com/MurkyYT/cs2-map-icons/main/images/thumbs/de_ancient_1_png.png;https://raw.githubusercontent.com/MurkyYT/cs2-map-icons/main/images/thumbs/de_ancient_2_png.png;https://raw.githubusercontent.com/MurkyYT/cs2-map-icons/main/images/thumbs/de_ancient_3_png.png;https://raw.githubusercontent.com/MurkyYT/cs2-map-icons/main/images/thumbs/de_ancient_4_png.png;https://raw.githubusercontent.com/MurkyYT/cs2-map-icons/main/images/thumbs/de_ancient_png.png"
"de_ancient_night","Ancient","7f977ca2","2025-12-28","panorama/images/map_icons/map_icon_de_ancient_night.vsvg_c","https://raw.githubusercontent.com/MurkyYT/cs2-map-icons/main/images/de_ancient_night.png","https://raw.githubusercontent.com/MurkyYT/cs2-map-icons/main/images/radars/de_ancient_night_radar_psd.png","{""path"":""https://raw.githubusercontent.com/MurkyYT/cs2-map-icons/main/data/radar_info/de_ancient_night.txt"",""pos_x"":-2953,""pos_y"":2164,""scale"":5,""rotate"":0,""zoom"":0}","https://raw.githubusercontent.com/MurkyYT/cs2-map-icons/main/images/thumbs/de_ancient_night_1_png.png;https://raw.githubusercontent.com/MurkyYT/cs2-map-icons/main/images/thumbs/de_ancient_night_2_png.png;https://raw.githubusercontent.com/MurkyYT/cs2-map-icons/main/images/thumbs/de_ancient_night_3_png.png;https://raw.githubusercontent.com/MurkyYT/cs2-map-icons/main/images/thumbs/de_ancient_night_4_png.png;https://raw.githubusercontent.com/MurkyYT/cs2-map-icons/main/images/thumbs/de_ancient_night_png.png"
"de_anubis","Anubis","afc69351","2025-12-28","panorama/images/map_icons/map_icon_de_anubis.vsvg_c","https://raw.githubusercontent.com/MurkyYT/cs2-map-icons/main/images/de_anubis.png","https://raw.githubusercontent.com/MurkyYT/cs2-map-icons/main/images/radars/de_anubis_radar_psd.png","{""path"":""https://raw.githubusercontent.com/MurkyYT/cs2-map-icons/main/data/radar_info/de_anubis.txt"",""pos_x"":-2796,""pos_y"":3328,""scale"":5.22}","https://raw.githubusercontent.com/MurkyYT/cs2-map-icons/main/images/thumbs/de_anubis_1_png.png;https://raw.githubusercontent.com/MurkyYT/cs2-map-icons/main/images/thumbs/de_anubis_2_png.png;https://raw.githubusercontent.com/MurkyYT/cs2-map-icons/main/images/thumbs/de_anubis_3_png.png;https://raw.githubusercontent.com/MurkyYT/cs2-map-icons/main/images/thumbs/de_anubis_4_png.png;https://raw.githubusercontent.com/MurkyYT/cs2-map-icons/main/images/thumbs/de_anubis_5_png.png;https://raw.githubusercontent.com/MurkyYT/cs2-map-icons/main/images/thumbs/de_anubis_png.png"
"de_assembly","Assembly","667bc0a5-19fa9","","","https://raw.githubusercontent.com/MurkyYT/cs2-map-icons/main/images/de_assembly.png","","","https://raw.githubusercontent.com/MurkyYT/cs2-map-icons/main/images/thumbs/de_assembly_png.png"
"de_basalt","Basalt","6735622e-242cc","","","https://raw.githubusercontent.com/MurkyYT/cs2-map-icons/main/images/de_basalt.png","","","https://raw.githubusercontent.com/MurkyYT/cs2-map-icons/main/images/thumbs/de_basalt_png.png"
"de_brewery","Brewery","681ce1f5-1368a","","","https://raw.githubusercontent.com/MurkyYT/cs2-map-icons/main/images/de_brewery.png","","","https://raw.githubusercontent.com/MurkyYT/cs2-map-icons/main/images/thumbs/de_brewery_png.png"
